Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,is_dropout,academic_performance,success_ratio,student_age,has_debt,has_scholarship,fees_updated,actual_status,predicted_status,prediction_probability,status_label,prediction_label,prediction_correct,risk_level
4,39,1,9130,1,1,133.1,1,3,1,5,5,110.0,1,0,0,1,0,1,30,0,0,6,7,0,0.0,0,0,6,16,1,10.0,0,11.1,0.6,2.02,1,5.0,0.08333326388894677,30,0,1,1,1,1,0.8024198,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,17,1,9238,1,1,125.0,1,4,3,1,1,119.8,0,0,0,1,0,0,18,0,0,6,9,5,11.571428571428571,0,0,6,8,6,12.142857142857142,0,16.2,0.3,-0.92,0,11.857142857142858,0.9166659027784144,18,0,0,1,0,0,0.052791875,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,1,9853,1,1,133.0,1,38,38,9,9,127.4,0,0,1,1,0,1,18,0,0,7,7,7,12.714285714285714,0,0,7,7,7,12.285714285714286,0,16.2,0.3,-0.92,0,12.5,0.9999992857147959,18,1,1,1,0,0,0.09944269,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,2,9670,1,1,110.0,1,1,1,4,10,115.3,1,0,0,1,1,0,19,0,0,6,8,6,13.857142857142858,0,0,6,8,5,13.0,0,15.5,2.8,-4.06,0,13.428571428571429,0.9166659027784144,19,0,0,1,0,0,0.11153305,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,39,1,9500,1,1,130.0,1,37,19,9,8,106.2,1,0,0,1,0,0,27,0,0,7,14,0,0.0,0,0,7,14,0,0.0,0,11.1,0.6,2.02,1,0.0,0.0,27,0,0,1,1,1,0.94422686,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,39,1,8014,0,15,170.0,1,34,1,90,2,101.0,0,0,0,1,0,0,32,0,0,6,9,4,12.0,0,0,6,12,4,11.5,0,7.6,2.6,0.32,0,11.75,0.6666661111115741,32,0,0,1,0,0,0.31513628,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Sedang
1,1,1,9773,1,1,143.0,1,3,3,2,5,144.8,0,0,0,1,0,0,19,0,0,6,6,6,12.166666666666666,0,0,6,6,6,12.5,0,16.2,0.3,-0.92,0,12.333333333333332,0.9999991666673611,19,0,0,1,0,0,0.05756826,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,51,1,9119,1,1,136.0,1,1,19,3,5,133.6,1,0,0,1,1,0,20,0,4,9,12,9,13.454545454545457,0,2,7,9,6,13.875,0,11.1,0.6,2.02,1,13.664772727272728,0.9374994140628662,20,0,0,1,1,0,0.038858466,Dropout,Diprediksi Tidak Dropout,Salah,Risiko Rendah
1,17,5,9500,1,1,147.0,1,19,1,4,3,138.5,1,0,0,1,0,0,19,0,0,8,8,8,14.34125,0,0,8,8,8,14.34125,0,9.4,-0.8,-3.12,0,14.34125,0.9999993750003906,19,0,0,1,0,0,0.02200262,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9500,1,1,118.0,1,19,19,5,7,117.8,0,0,0,1,0,1,19,0,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,0,14.185714285714287,0.9333327111115259,19,0,1,1,0,0,0.027844299,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
